AGE;ANCSTRY1;ANCSTRY2;HISPANIC;INCOME1;INCOME2;INCOME3;INCOME4;INCOME5;INCOME6;INCOME7;INCOME8;INDUSTRY;LANG1;OCCUP;POB;PWGT1;RACE;SEX;YEARSCH
36;999;999;000;001030;000000;000000;000000;00000;00000;00000;00000;641;2;436;039;0240;001;1;08
11;999;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;047;0240;001;1;05
43;050;999;000;036000;000000;000000;000000;00000;00000;00000;00000;931;2;005;001;0080;001;0;15
39;032;022;000;012000;000000;000000;000790;00000;00000;00000;00000;831;2;203;012;0080;001;1;11
20;050;032;000;003900;000000;000000;000000;00000;00000;00000;00000;642;2;096;001;0080;001;1;11
19;050;032;000;002360;000000;000000;000000;00000;00000;00000;00000;623;2;264;012;0048;001;1;11
22;939;999;000;012000;000000;000000;000000;00000;00000;00000;00000;060;2;567;001;0048;001;0;10
27;148;999;000;035000;000000;000000;000120;00000;00000;00000;00000;120;2;259;001;0144;001;0;14
23;935;999;000;002600;000000;000000;000890;00000;00000;00000;00000;831;2;095;047;0096;001;1;14
31;999;999;000;016000;000000;000000;000000;00000;00000;00000;00000;521;2;259;001;0112;001;0;11
30;999;999;000;006000;000000;000000;000000;00000;00000;00000;00000;842;1;436;001;0112;001;1;11
11;999;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0128;001;0;05
09;999;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0128;001;1;04
49;050;999;000;000000;005000;000000;000000;00000;00000;00000;00000;722;2;889;001;0128;001;1;11
45;032;999;000;014751;000000;000000;000192;00000;00000;00000;00000;232;2;777;001;0112;001;0;05
59;050;999;000;048000;010000;000000;000485;00000;00000;00000;00000;612;2;263;001;0112;001;0;10
58;050;999;000;000000;006000;000000;000000;00000;00000;00000;00000;641;2;276;001;0112;001;1;09
80;022;999;199;000000;000000;000000;009000;06684;00000;04752;00000;000;2;000;001;0144;001;1;13
40;022;999;000;018000;000000;000000;000000;00000;00000;00000;00000;612;2;243;001;0112;001;0;10
38;022;999;000;024000;000000;000000;000000;00000;00000;00000;00000;601;2;243;001;0128;001;1;10
19;022;999;000;001000;000000;000000;000000;00000;00000;00000;00000;601;2;877;001;0112;001;0;11
16;022;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0112;001;0;06
43;999;999;000;000000;000000;000000;001000;00000;00000;00000;00000;400;2;825;001;0128;001;0;11
28;999;999;000;023015;000000;000000;000000;00000;00000;00000;00864;940;2;338;001;0144;001;1;11
20;999;999;000;004000;000000;000000;000000;00000;00000;00000;00000;641;2;435;001;0160;001;1;10
04;999;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;0;000;001;0144;001;0;02
42;939;999;000;035000;000000;000000;000000;00000;00000;00000;00000;060;2;575;047;0112;001;0;08
41;939;999;000;000000;000000;000000;000000;00000;00000;00000;00000;992;2;909;001;0112;001;1;09
18;939;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0128;001;1;10
33;087;999;000;026024;000000;000000;000000;00000;00000;00000;00000;842;2;156;001;0192;001;0;15
30;087;999;000;000000;000000;000000;000000;01692;00000;00000;00000;171;2;315;001;0176;001;1;14
04;087;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;0;000;001;0176;001;1;01
01;087;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;0;000;001;0176;001;1;00
64;032;999;000;004000;000000;000000;006000;01500;00000;11000;00000;300;2;503;001;0128;001;0;10
58;999;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0128;001;1;10
31;920;999;000;014000;000000;000000;000000;00000;00000;00000;00000;910;2;418;001;0160;001;0;05
31;032;999;000;020000;000000;000000;000000;00000;00000;00000;00000;831;2;095;035;0160;001;1;12
47;939;999;000;009598;000000;000000;000000;00000;00000;00000;00600;151;2;744;005;0160;001;1;06
13;939;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;021;0176;001;0;05
69;050;999;000;004745;000000;000000;002430;04163;00000;00000;00000;151;2;744;047;0032;001;1;05
64;940;999;000;000000;000000;000000;006145;02477;00000;00000;00000;641;2;017;001;0032;001;0;06
60;940;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0032;001;1;05
87;900;999;000;000000;000000;000000;000000;03948;00828;08400;00000;000;2;000;001;0032;002;1;04
60;900;999;000;005200;000000;000000;000000;00000;00000;03240;00000;761;2;405;001;0032;002;1;05
49;900;999;000;000000;000000;000000;000000;00900;00000;00000;00000;000;2;000;001;0048;002;0;15
51;900;999;000;030000;000000;000000;000000;00000;00000;00000;00000;842;2;156;001;0032;002;1;15
25;900;999;000;006000;000000;000000;000000;00000;00000;00000;00000;842;2;453;001;0064;002;0;11
17;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;1;000;001;0032;002;1;09
63;999;999;000;000000;000000;030000;002800;00000;00000;00000;00000;010;2;473;001;0144;001;0;06
62;026;999;000;000000;000000;000000;002800;00000;00000;00000;00000;000;2;000;001;0128;001;1;10
44;999;999;000;035000;000000;000000;000000;00000;00000;00000;00000;060;1;575;001;0144;001;0;11
42;999;999;000;005500;000000;000000;000000;00000;00000;00000;00000;880;2;313;001;0160;001;1;10
19;999;999;000;001500;000000;000000;000000;00000;00000;00000;00000;620;2;877;001;0144;001;0;11
16;999;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0160;001;1;07
73;939;999;000;000000;000000;000000;007200;07200;00000;02100;00000;000;2;000;039;0128;001;0;08
71;939;999;000;000000;000000;000000;000000;03600;00000;00000;00000;000;2;000;039;0160;001;1;09
49;939;999;000;010000;000000;000000;000600;00000;00000;00000;00000;762;2;337;039;0128;001;1;10
32;050;999;000;000000;000000;000000;000000;00000;00000;00000;00000;831;2;203;001;0176;001;1;10
47;050;999;000;020000;000000;000000;000000;00000;00000;00000;00000;910;1;418;001;0144;001;0;11
10;050;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0160;001;1;04
06;050;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0176;001;0;03
36;022;999;000;030000;000000;000000;000000;00000;00000;00000;00000;530;2;243;001;0128;001;0;10
15;022;999;000;000000;000000;000000;000000;00000;00000;00000;01000;000;2;000;001;0144;001;0;07
12;022;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0160;001;0;05
22;939;999;000;020922;000000;000000;000000;00000;00000;00000;00000;270;2;518;001;0128;001;0;11
20;920;999;000;000000;000000;000000;000000;00000;00000;00000;00000;591;2;274;001;0128;001;1;10
32;021;050;000;006000;000000;000000;000000;00000;00000;00000;00000;060;2;053;001;0192;001;0;11
31;021;050;000;006000;000000;000000;000000;00000;00000;00000;00000;641;2;276;001;0176;001;1;10
14;032;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0160;001;1;05
09;032;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;022;0176;001;0;04
27;920;999;000;006700;000000;000000;000000;00000;00000;00000;00000;151;2;744;001;0048;001;1;08
47;900;999;000;012480;000000;000000;000000;00000;00000;00000;00000;100;2;686;001;0032;002;1;07
14;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0032;002;0;05
24;900;999;000;007616;000000;000000;000000;00000;00000;00000;00000;100;2;686;001;0032;002;1;11
23;900;999;000;009120;000000;000000;000000;00000;00000;00000;00000;100;2;777;001;0032;002;0;10
02;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;0;000;001;0032;002;0;00
26;900;999;000;008800;000000;000000;000000;00000;00000;00000;00000;210;2;544;001;0032;002;0;10
23;900;999;000;010560;000000;000000;000000;00000;00000;00000;00000;151;2;744;001;0032;002;1;10
62;900;999;000;004420;000000;000000;000000;04956;00000;00000;00000;722;2;449;001;0048;002;1;05
28;900;999;000;009100;000000;000000;000000;00000;00468;00000;00000;641;2;436;001;0064;002;1;11
06;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0064;002;0;04
14;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0048;002;1;05
11;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0064;002;0;04
03;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;0;000;001;0064;002;0;01
07;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0064;002;0;04
59;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0032;002;1;10
59;900;999;000;012000;000000;000000;000000;00000;00000;00000;00000;392;2;889;001;0032;002;0;10
31;032;999;000;050000;000000;000000;000000;00000;00000;00000;00000;300;2;022;022;0048;001;0;10
30;021;050;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;048;0032;001;1;10
11;021;050;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;022;0032;001;1;04
10;021;050;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;022;0016;001;1;04
08;021;050;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;022;0048;001;0;04
06;021;050;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;022;0032;001;0;01
33;900;999;000;035000;000000;000000;000000;00000;00000;00000;00000;450;2;889;001;0032;002;0;11
32;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;151;2;744;001;0032;002;1;08
15;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0032;002;0;06
10;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0032;002;1;05
11;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0032;002;0;01
23;939;999;000;022000;000000;000000;000000;00000;00000;00000;00149;242;2;628;001;0128;001;0;09
